Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
20,FFN_routed_expert1-Fwd-FFN-encoder-FFoutput,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLH;HM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert1FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert1FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,Einsum,16588800,[],Einsum,"BLH,HM->BLM","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
21,FFN_routed_expert2-Fwd-FFN-encoder-FFgate,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLM;MH->BLH,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert2FwdFFNencoderFFgateMatMulhgate2ynorm2WFFgate1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert2FwdFFNencoderFFgateMatMulhgate2ynorm2WFFgate1,Einsum,16588800,[],Einsum,"BLM,MH->BLH","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
22,FFN_routed_expert2-Fwd-FFN-encoder-FFup,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLM;MH->BLH,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert2FwdFFNencoderFFupMatMulhup2ynorm2WFFup1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert2FwdFFNencoderFFupMatMulhup2ynorm2WFFup1,Einsum,16588800,[],Einsum,"BLM,MH->BLH","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
23,FFN_routed_expert2-Fwd-FFN-encoder-FFgate_up,"Mul(a=64x2048x2880,b=64x2048x2880,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert2FwdFFNencoderFFgateuphgateup2hgate2hup1,VPU,3,Memory,508590,36142,508590,0,0,0,0,0,0,0,0,0,36142,0,0,1509949440,"DT_BFLOAT16:[64,2048,2880]","[DT_BFLOAT16:(64,2048,2880)]",377487360,FFNroutedexpert2FwdFFNencoderFFgateuphgateup2hgate2hup1,Mul,0,[],Mul,,,,,0,,,,,0,36142,1509949440,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,42694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.7422233233056096,2764.997345602548,0.07106151609467003,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
24,FFN_routed_expert2-Fwd-FFN-encoder-FFoutput,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLH;HM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert2FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert2FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,Einsum,16588800,[],Einsum,"BLH,HM->BLM","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
25,FFN_routed_expert3-Fwd-FFN-encoder-FFgate,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLM;MH->BLH,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert3FwdFFNencoderFFgateMatMulhgate2ynorm2WFFgate1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert3FwdFFNencoderFFgateMatMulhgate2ynorm2WFFgate1,Einsum,16588800,[],Einsum,"BLM,MH->BLH","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
26,FFN_routed_expert3-Fwd-FFN-encoder-FFup,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLM;MH->BLH,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert3FwdFFNencoderFFupMatMulhup2ynorm2WFFup1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert3FwdFFNencoderFFupMatMulhup2ynorm2WFFup1,Einsum,16588800,[],Einsum,"BLM,MH->BLH","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
27,FFN_routed_expert3-Fwd-FFN-encoder-FFgate_up,"Mul(a=64x2048x2880,b=64x2048x2880,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert3FwdFFNencoderFFgateuphgateup2hgate2hup1,VPU,3,Memory,508590,36142,508590,0,0,0,0,0,0,0,0,0,36142,0,0,1509949440,"DT_BFLOAT16:[64,2048,2880]","[DT_BFLOAT16:(64,2048,2880)]",377487360,FFNroutedexpert3FwdFFNencoderFFgateuphgateup2hgate2hup1,Mul,0,[],Mul,,,,,0,,,,,0,36142,1509949440,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,42694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.7422233233056096,2764.997345602548,0.07106151609467003,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
28,FFN_routed_expert3-Fwd-FFN-encoder-FFoutput,"XlaEinsum(a=64x2048x2880,b=2880x2880,eq=BLH;HM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",FFNroutedexpert3FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,MXU,3,Compute,5098335,5098335,553290,0,0,0,0,0,0,0,0,5098335,849719,0,0,1642659840,"DT_BFLOAT16:[64,2048,2880],DT_BFLOAT16:[2880,2880]","[DT_BFLOAT16:(64,2048,2880)]",2174327193600,FFNroutedexpert3FwdFFNencoderFFoutputMatMulffdown2hgateup2WFFdown1,Einsum,16588800,[],Einsum,"BLH,HM->BLM","[[64, 256, 960], [960, 2880], [64, 256, 2880]]",8,1029308416,541696,1,131072,2880,2880,0,5098335,1642659840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,886339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,426.47789790196214,300.067804764938,0.9350748140320722,0.1085236183598329,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
29,MoE_combine_weights,"XlaEinsum(a=64x2048x4x2880,b=64x2048x4,eq=BSEM;BSE->BSM,memory_placements=0_0_0,type=DT_BFLOAT16)",MoEcombineweightsMoEcombineweights,MXU,3,Memory,1271827,591109,1271827,0,0,0,0,0,0,0,0,0,591109,0,0,3775922176,"DT_BFLOAT16:[64,2048,4,2880],DT_BFLOAT16:[64,2048,4]","[DT_BFLOAT16:(64,2048,2880)]",3019898880,MoEcombineweightsMoEcombineweights,Einsum,1048576,[],Einsum,"BSEM,BSE->BSM","[[1, 1, 1, 2880], [1, 1, 1], [1, 1, 2880]]",131072,28808,3014656,131072,2880,1,4,0,591109,3775922176,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,84171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.3744572807465167,2764.9999272699824,0.00520612020257975,0.9999999736961962,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
30,MoE_combine_output,"Add(a=64x2048x2880,b=64x2048x2880,memory_placements=0_0_0,type=DT_BFLOAT16)",MoEcombineoutputMoEcombineoutput,VPU,3,Memory,508590,36142,508590,0,0,0,0,0,0,0,0,0,36142,0,0,1509949440,"DT_BFLOAT16:[64,2048,2880]","[DT_BFLOAT16:(64,2048,2880)]",377487360,MoEcombineoutputMoEcombineoutput,Add,0,[],Add,,,,,0,,,,,0,36142,1509949440,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,42694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.7422233233056096,2764.997345602548,0.07106151609467003,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
31,Fwd-FFN-encoder-AttnPlusFFn,"Add(a=64x2048x2880,b=64x2048x2880,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdFFNencoderAttnPlusFFnattnPlusFFnAddBdLlMmhBdLlMmh,VPU,3,Memory,508590,36142,508590,0,0,0,0,0,0,0,0,0,36142,0,0,1509949440,"DT_BFLOAT16:[64,2048,2880]","[DT_BFLOAT16:(64,2048,2880)]",377487360,FwdFFNencoderAttnPlusFFnattnPlusFFnAddBdLlMmhBdLlMmh,Add,0,[],Add,,,,,0,,,,,0,36142,1509949440,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,42694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.7422233233056096,2764.997345602548,0.07106151609467003,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
32,Attention-serving-decode-Input_rmsnorm,"RMSNorm(x=64x1x2880,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeInputrmsnormXnormRMSNormX,VPU,384,Memory,500,106,500,0,0,0,0,0,0,0,0,0,106,0,0,737280,"DT_BFLOAT16:[64,1,2880]","[DT_BFLOAT16:(64,1,2880)]",1105920,AttentionservingdecodeInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,106,737280,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.21184,1373.291015625,0.21176470588235294,0.49666944507233274,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
33,Attention-serving-decode-Q/K/V,"XlaEinsum(a=64x1x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,MXU,2304,Memory,8248,6946,8248,0,0,0,0,0,0,0,0,6946,1154,0,0,24485888,"DT_BFLOAT16:[64,1,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(64,1,64,64)]",1509949440,AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[64, 1, 2880], [2880, 64, 64], [64, 1, 64, 64]]",1,9043968,736,1,64,4096,2880,0,6946,24485888,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,183.0685548011639,2764.8230181748604,0.40138725987429646,0.9999359921066403,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
33,Attention-serving-decode-Q/K/V,"XlaEinsum(a=64x1x2880,b=2x2880x8x64,eq=BLM;TMND->BTLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,MXU,2304,Memory,2155,1751,2155,0,0,0,0,0,0,0,0,1751,288,0,0,6397952,"DT_BFLOAT16:[64,1,2880],DT_BFLOAT16:[2,2880,8,64]","[DT_BFLOAT16:(64,2,1,8,64)]",377487360,AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,Einsum,5898240,[],Einsum,"BLM,TMND->BTLND","[[64, 1, 2880], [2, 2880, 8, 64], [64, 2, 1, 8, 64]]",1,2359296,184,1,64,1024,2880,0,1751,6397952,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,175.16814849187935,2764.9917071490718,0.3840652110722967,0.9999970007772412,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=64x8x8x1x64,b=64x8x2048x64,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,MXU,2304,Memory,51036,12850,51036,0,0,0,0,0,0,0,0,0,12850,0,0,151519232,"DT_BFLOAT16:[64,8,8,1,64],DT_BFLOAT16:[64,8,2048,64]","[DT_BFLOAT16:(64,8,8,1,2048)]",1073741824,AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[1, 1, 8, 1, 1], [1, 1, 2048, 1], [1, 1, 8, 1, 2048]]",512,295936,8192,512,8,2048,64,0,12850,151519232,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,21.038910259424718,2764.975336037307,0.04612889717157488,0.9999910799411599,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=64x8x8x1x64,b=64x8x128x64,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,MXU,2304,Memory,3356,803,3356,0,0,0,0,0,0,0,0,0,803,0,0,9961472,"DT_BFLOAT16:[64,8,8,1,64],DT_BFLOAT16:[64,8,128,64]","[DT_BFLOAT16:(64,8,8,1,128)]",67108864,AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[64, 8, 8, 1, 64], [64, 8, 128, 64], [64, 8, 8, 1, 128]]",1,19456,512,512,8,128,64,0,803,9961472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,19.99668176400477,2764.4051698450535,0.043843757375754175,0.9997848715533647,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"Softmax(x=64x8x8x1x2176,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,VPU,2304,Memory,12009,3414,12009,0,0,0,0,0,0,0,0,0,3414,0,0,35651584,"DT_BFLOAT16:[64,8,8,1,2176]","[DT_BFLOAT16:(64,8,8,1,2176)]",35651584,AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,Softmax,0,[],Softmax,,,,,0,,,,,0,3414,35651584,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.9687387792488966,2764.853443250895,0.28423127099120105,0.9999469957507757,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=64x8x8x1x2048,b=64x8x2048x64,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,MXU,2304,Memory,51036,12850,51036,0,0,0,0,0,0,0,0,0,12850,0,0,151519232,"DT_BFLOAT16:[64,8,8,1,2048],DT_BFLOAT16:[64,8,2048,64]","[DT_BFLOAT16:(64,8,8,1,64)]",1073741824,AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[1, 1, 8, 1, 2048], [1, 1, 2048, 64], [1, 1, 8, 1, 64]]",512,148480,8192,512,8,64,2048,0,12850,151519232,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,21.038910259424718,2764.975336037307,0.04612889717157488,0.9999910799411599,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=64x8x8x1x128,b=64x8x128x64,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,MXU,2304,Memory,3356,803,3356,0,0,0,0,0,0,0,0,0,803,0,0,9961472,"DT_BFLOAT16:[64,8,8,1,128],DT_BFLOAT16:[64,8,128,64]","[DT_BFLOAT16:(64,8,8,1,64)]",67108864,AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[64, 8, 8, 1, 128], [64, 8, 128, 64], [64, 8, 8, 1, 64]]",1,19456,512,512,8,64,128,0,803,9961472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,19.99668176400477,2764.4051698450535,0.043843757375754175,0.9997848715533647,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
34,Attention-serving-decode-Softmax(Q*K)*V,"Add(a=64x1x64x64,b=64x1x64x64,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,VPU,2304,Memory,500,26,500,0,0,0,0,0,0,0,0,0,26,0,0,1048576,"DT_BFLOAT16:[64,1,64,64]","[DT_BFLOAT16:(64,1,64,64)]",262144,AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,Add,0,[],Add,,,,,0,,,,,0,26,1048576,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.524288,1953.125,0.05019607843137254,0.706374321880651,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
35,Attention-serving-decode-Attention_output,"XlaEinsum(a=64x1x64x64,b=64x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,MXU,2304,Memory,8248,6946,8248,0,0,0,0,0,0,0,0,6946,1154,0,0,24485888,"DT_BFLOAT16:[64,1,64,64],DT_BFLOAT16:[64,64,2880]","[DT_BFLOAT16:(64,1,2880)]",1509949440,AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,Einsum,23592960,[],Einsum,"BLND,NDM->BLM","[[64, 1, 64, 64], [64, 64, 2880], [64, 1, 2880]]",1,6397952,736,1,64,2880,4096,0,6946,24485888,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,183.0685548011639,2764.8230181748604,0.40138725987429646,0.9999359921066403,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
36,Attention-serving-decode-Attention_layernorm,"LayerNorm(x=64x1x2880,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeAttentionlayernormYnormLayerNormy,VPU,2304,Memory,500,142,500,0,0,0,0,0,0,0,0,0,142,0,0,737280,"DT_BFLOAT16:[64,1,2880]","[DT_BFLOAT16:(64,1,2880)]",1474560,AttentionservingdecodeAttentionlayernormYnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,142,737280,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.94912,1373.291015625,0.2823529411764706,0.49666944507233274,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
37,Decode-Attention-sliding-window-lebronAttention-serving-decode-Q/K/V,"XlaEinsum(a=64x1x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",DecodeAttentionslidingwindowlebronAttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,MXU,18,Memory,8248,6946,8248,0,0,0,0,0,0,0,0,6946,1154,0,0,24485888,"DT_BFLOAT16:[64,1,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(64,1,64,64)]",1509949440,DecodeAttentionslidingwindowlebronAttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[64, 1, 2880], [2880, 64, 64], [64, 1, 64, 64]]",1,9043968,736,1,64,4096,2880,0,6946,24485888,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,183.0685548011639,2764.8230181748604,0.40138725987429646,0.9999359921066403,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
